Mookie Betts,300.6
Aaron Judge,298
Rene Pinto,280
Gleyber Torres,245
Josh Naylor,242.3
Marcell Ozuna,240
G. Stanton,235
J. Rodriguez,233.6
R. Acuna Jr.,223
Seiya Suzuki,217
L. Gurriel Jr.,198.6
T. Hernandez,197.1
Luis Arraez,197
F. Cordero,192
Shohei Ohtani,187
Jose Siri,186
Gabriel Arias,185.2
Austin Riley,180
F. Freeman,177.9
J.D. Martinez,173.6
M. Harris II,169
Kevin Pillar,166
C. Walker,164.6
D. Canzone,162.3
J.P. Crawford,159.9
Josh Lowe,159
Jorge Soler,156
Jake Bauers,155
Mike Trout,155
K. Higashioka,154
Jake Burger,151
Brandon Drury,150
Josh Donaldson,149
Yandy Diaz,147
Anthony Rizzo,147
Wander Franco,146
Jesus Sanchez,144
Evan Longoria,143.7
Sean Murphy,143
Max Muncy,141.0
Chad Wallach,138
Bo Naylor,136.5
Nolan Gorman,134.0
Eddie Rosario,134
Jordan Walker,133.0
C. Morel,131
Billy McKinney,130
Will Smith,128.7
C.J. Cron,127
T. d'Arnaud,126
Luke Raley,125
Ketel Marte,124.6
Jazz Chisholm,124
P. Goldschmidt,122.5
Orlando Arcia,122
Jarred Kelenic,119.7
Tommy Edman,119.4
DJ LeMahieu,119
Mike Ford,118.9
B. De La Cruz,117
Tom Murphy,116.7
Tommy Pham,115.5
Patrick Wisdom,115
Trey Cabbage,114
Miguel Vargas,113.2
E. Pereira,111
Anthony Volpe,110
Logan O'Hoppe,109
Josh Bell,108
Jonny DeLuca,107.2
Mickey Moniak,107
Matt Olson,106
Brayan Rocchio,105.9
Jake Marisnick,105.7
Michael Busch,105.3
Brandon Lowe,105
Nolan Arenado,103.9
T. Trammell,103.8
David Fry,102.9
Will Brennan,102.5
Tyler O'Neill,101.8
Pavin Smith,101.4
D. Fletcher,101.3
Gabriel Moreno,101.2
Oswald Peraza,101
Corbin Carroll,100.3
Cal Raleigh,99.3
Matt Thaiss,98
Alek Thomas,95.1
Cody Bellinger,95
Ben Rortvedt,94
Sam Hilliard,92
Ian Happ,92
Miguel Rojas,90.6
Chris Taylor,90.1
Edwin Rios,90
Jared Young,90
Juan Yepez,89.1
Peyton Burdick,89
S. Torkelson,88.8
Jason Heyward,87.1
Randal Grichuk,87
Isaac Paredes,86
Taylor Ward,86
Tyler Freeman,85.0
Ozzie Albies,84
Miguel Amaya,84
E. Escobar,84
W. Contreras,83.7
C. Bethancourt,83
Jose Trevino,82
J. Candelario,82
Yan Gomes,82
Jared Walsh,81
Jace Peterson,80.7
Jose Ramirez,80.3
Zach Neto,80
Amed Rosario,79.5
Andrew Knizner,79.1
G. Hampson,79
Curtis Mead,79
Mike Tauchman,78
Jake Lamb,78
Nick Ahmed,76.7
James Outman,76.4
E. Rivera,70.9
Austin Barnes,68.3
Xavier Edwards,68
Steven Kwan,67.0
Willie Calhoun,65
Dansby Swanson,65
Kyle Lewis,64.6
Mike Moustakas,64
E. Hernandez,63.3
R. Arozarena,63
Cade Marlowe,62.9
B. Donovan,61.8
David Peralta,61.4
Eugenio Suarez,61.4
Harold Ramirez,61
Luis Rengifo,61
M. Stefanic,61
Yuli Gurriel,60
O. Basabe,60
Matt Mervis,60
Eric Haase,59.3
Avisail Garcia,59
J. Stallings,59
Luken Baker,57.8
Dane Myers,57
Anthony Rendon,57
R. Palacios,56.7
I. Kiner-Falefa,55
Ty France,54.1
Oscar Gonzalez,54.1
Joey Wendle,54
Taylor Walls,50
Kole Calhoun,49.7
Lars Nootbaar,49.6
Nolan Schanuel,49
Jose Herrera,48.9
Jonathan Davis,48
J. Aranda,48
Nico Hoerner,48
Gio Urshela,48
Jake Rogers,46.7
G. Perdomo,46.3
Ramon Laureano,46.0
K. Carpenter,43.8
Mike Zunino,43.1
O. Cabrera,42
Vaughn Grissom,40
Oscar Mercado,38.9
Josh Rojas,37.8
Trey Mancini,35
A. Velazquez,33
Alec Burleson,32.0
Manuel Margot,31
David Fletcher,31
Riley Greene,29.4
Kolten Wong,29.3
Vidal Brujan,29
M. Mastrobuoni,29
Andres Gimenez,26.0
Zach McKinstry,23.8
Masyn Winn,23.0
Dylan Moore,22.7
Sam Haggerty,22.7
Nick Fortes,21
Jake McCarthy,15.1
Eric Hosmer,15
Nick Madrigal,15
Parker Meadows,14.1
F. Mejia,14
Dylan Carlson,11.3
Jon Berti,8
Nick Maton,7.2
Akil Baddoo,5.7
Jose Caballero,1.9
Javier Baez,0.9
Nicky Lopez,0
T. Barnhart,0
Cam Gallagher,-7.4
Taylor Motter,-9.5
Andy Ibanez,-10.9
Myles Straw,-15.0
Miguel Cabrera,-21.1
Tyler Nevin,-24.1
Carson Kelly,-28.9
Jean Segura,-33
Zack Short,-52.5
J. Schoop,-55.0
Matt Vierling,-59.4
