Team,Player,PP,XBH,BB,K,Line,H,OPS,Score
BAL,Ryan O'Hearn,13.799999999999999,4.705882352941181,3.1067961165048574,-18.8546255506608,1.9130434782608614,127.0,1.664,297.5
TEX,Mitch Garver,32.18,2.352941176470601,15.533980582524277,2.8193832599118873,6.782608695652169,91.0,1.889,284.6
NYM,Pete Alonso,13.799999999999999,7.058823529411772,9.70873786407767,2.9955947136563905,1.3913043478260785,67.0,2.0549999999999997,266.7
CHC,Seiya Suzuki,59.459999999999994,7.8431372549019684,-7.378640776699026,-6.696035242290755,7.999999999999997,86.0,1.64,241.5
TOR,D. Schneider,13.799999999999999,1.088453945710938e-14,8.932038834951465,28.017621145374445,8.173913043478258,62.0,1.448,220.7
LAD,J.D. Martinez,13.799999999999999,4.705882352941181,5.436893203883501,20.440528634361243,3.478260869565211,46.0,1.708,215.3
TEX,Corey Seager,66.88000000000001,8.627450980392165,-9.320388349514563,-1.585903083700442,9.217391304347824,102.0,1.169,205.5
BAL,G. Henderson,13.799999999999999,1.5686274509803937,-4.271844660194168,-8.458149779735681,-5.04347826086957,129.0,1.2000000000000002,204.6
HOU,Yordan Alvarez,13.799999999999999,7.058823529411772,8.932038834951454,-2.1145374449339225,3.999999999999994,45.0,1.75,203.5
TOR,V. Guerrero Jr.,13.799999999999999,3.9215686274509842,-12.038834951456312,-4.581497797356832,-1.043478260869566,107.0,1.291,193.8
TOR,Bo Bichette,13.799999999999999,14.90196078431373,-12.815533980582527,-3.876651982378858,7.652173913043476,88.0,1.264,188.7
BAL,Adam Frazier,13.799999999999999,2.3529411764705905,-11.650485436893206,-19.207048458149785,3.1304347826086887,96.0,1.664,184.7
TOR,G. Springer,13.799999999999999,13.333333333333336,4.271844660194179,1.5859030837004322,2.434782608695645,85.0,1.28,181.7
PHI,Kyle Schwarber,13.799999999999999,-0.784313725490186,33.398058252427184,14.625550660792957,-2.9565217391304373,29.0,1.605,180.9
LAD,Mookie Betts,13.799999999999999,9.411764705882351,12.427184466019419,-3.3480176211453774,7.652173913043476,72.0,1.19,179.6
ATL,Matt Olson,11.530000000000001,10.196078431372548,17.864077669902922,-2.9955947136563905,-2.2608695652173934,52.0,2.074,179.1
CHW,Yoan Moncada,13.799999999999999,1.5686274509803937,-5.0485436893203826,7.753303964757707,9.391304347826086,51.0,1.569,169.0
TOR,Brandon Belt,13.799999999999999,1.088453945710938e-14,16.310679611650492,20.440528634361243,9.043478260869565,83.0,1.264,168.7
LAD,F. Freeman,13.799999999999999,14.90196078431373,1.0778864316749093e-14,-3.7004405286343642,12.695652173913045,76.0,1.081,157.3
ATL,Matt Olson,30.7,8.627450980392155,9.320388349514571,-4.581497797356832,-2.7826086956521765,34.0,2.074,156.1
ATL,R. Acuna Jr.,40.64000000000001,7.8431372549019684,5.825242718446607,-13.568281938325994,-4.0000000000000036,80.0,1.297,151.4
TEX,Marcus Semien,27.53,11.764705882352942,-12.815533980582527,-5.991189427312771,3.8260869565217335,82.0,1.333,141.7
NYY,Aaron Judge,36.260000000000005,-0.784313725490186,23.68932038834953,14.977973568281943,0.5217391304347734,61.0,1.041,141.2
ATL,R. Acuna Jr.,46.75,6.274509803921575,-2.7184466019417393,-15.154185022026434,-4.521739130434787,75.0,1.297,137.0
TOR,Danny Jansen,13.799999999999999,4.705882352941181,13.592233009708742,2.2907488986784066,0.6956521739130441,71.0,1.448,135.7
LAD,Max Muncy,13.799999999999999,1.5686274509804046,19.41747572815535,11.629955947136565,-2.9565217391304373,55.0,1.161,132.1
SEA,J. Rodriguez,13.799999999999999,4.705882352941181,-6.990291262135919,1.4096916299559483,7.999999999999997,36.0,1.135,127.0
ARI,L. Gurriel Jr.,32.06999999999999,9.411764705882351,-13.592233009708742,-5.1101321585903134,4.521739130434777,58.0,1.3780000000000001,117.5
CHC,Yan Gomes,38.75,9.411764705882362,-19.805825242718434,-6.343612334801768,5.3913043478260825,75.0,1.139,116.6
CHC,C. Morel,32.18,2.352941176470601,-14.757281553398052,3.7004405286343545,-1.565217391304359,98.0,0.964,115.6
WAS,Keibert Ruiz,77.32,12.549019607843139,-21.359223300970864,-9.515418502202643,6.0869565217391255,49.0,,114.1
BAL,J. Westburg,13.799999999999999,-3.9215686274509736,-6.601941747572813,-5.991189427312771,2.434782608695645,33.0,1.639,113.7
LAD,Jason Heyward,13.799999999999999,4.705882352941181,-2.330097087378632,-5.286343612334807,0.6956521739130441,38.0,1.491,108.3
ATL,M. Harris II,32.7,11.764705882352942,-5.0485436893203826,-10.572687224669604,-1.9130434782608714,71.0,1.0899999999999999,106.7
PIT,Ke'Bryan Hayes,13.799999999999999,6.274509803921575,-14.757281553398062,-7.9295154185022,9.565217391304346,72.0,1.292,106.7
TOR,K. Kiermaier,13.799999999999999,1.5686274509804046,-10.097087378640778,8.810572687224669,-0.8695652173913051,58.0,1.193,103.9
CHW,Andrew Vaughn,13.799999999999999,1.5686274509803937,-19.41747572815534,1.5859030837004322,-0.6956521739130441,69.0,1.139,103.0
CHC,Cody Bellinger,61.839999999999996,12.549019607843139,-20.970873786407758,-16.035242290748904,5.565217391304344,47.0,1.138,102.4
NYM,Brandon Nimmo,13.799999999999999,4.705882352941181,16.310679611650492,1.585903083700442,5.217391304347822,41.0,1.385,100.9
NYM,DJ Stewart,13.799999999999999,0.7843137254902077,21.747572815533992,10.220264317180616,1.7391304347826004,65.0,0.889,100.3
HOU,Kyle Tucker,13.799999999999999,9.411764705882351,15.922330097087382,-3.7004405286343642,1.043478260869566,49.0,0.86,98.4
ARI,Tommy Pham,21.669999999999998,3.1372549019607874,6.601941747572813,-1.7621145374449452,6.782608695652169,49.0,1.137,97.1
PHI,Trea Turner,13.799999999999999,9.411764705882362,3.1067961165048574,12.511013215859032,2.2608695652173836,38.0,1.488,96.6
CHC,J. Candelario,40.050000000000004,1.5686274509804046,1.1650485436893323,-7.753303964757716,3.478260869565211,66.0,0.921,96.3
PIT,Bryan Reynolds,13.799999999999999,4.705882352941181,-1.1650485436893108,-4.405286343612339,10.782608695652174,44.0,1.229,94.5
BAL,A. Rutschman,13.799999999999999,0.7843137254901968,10.485436893203882,-20.969162995594726,3.1304347826086887,43.0,1.093,93.3
NYY,J. Dominguez,22.44,-8.627450980392155,-12.815533980582527,45.99118942731278,-1.73913043478262,25.0,1.325,93.1
BAL,Terrin Vavra,13.799999999999999,-5.490196078431367,-8.543689320388347,-3.171806167400874,7.130434782608692,75.0,1.664,92.0
BAL,A. Santander,13.799999999999999,0.0,1.1650485436893214,-14.977973568281943,-7.8260869565217455,65.0,1.33,91.2
BAL,Austin Hays,13.799999999999999,0.0,-7.7669902912621325,-7.9295154185022,-9.391304347826086,46.0,1.2570000000000001,91.1
TEX,Leody Taveras,10.890000000000002,10.196078431372548,-11.650485436893206,1.4096916299559483,6.434782608695648,52.0,1.314,91.0
TOR,Nathan Lukes,13.799999999999999,1.088453945710938e-14,-7.378640776699026,22.026431718061666,0.8695652173913051,49.0,1.193,89.3
HOU,Chas McCormick,13.799999999999999,8.627450980392165,4.660194174757286,9.691629955947135,4.173913043478255,23.0,1.5,88.6
LAD,Chris Taylor,13.799999999999999,3.1372549019607874,22.524271844660205,14.977973568281923,6.260869565217387,3.0,1.604,86.6
SEA,T. Hernandez,13.799999999999999,5.490196078431378,-10.485436893203882,16.211453744493397,16.69565217391305,14.0,1.146,84.2
ARI,Ketel Marte,19.519999999999996,0.7843137254902077,6.601941747572813,-8.458149779735681,0.6956521739130441,48.0,1.233,82.8
PHI,Bryce Harper,13.799999999999999,3.137254901960798,-4.660194174757276,16.211453744493397,6.434782608695648,45.0,0.762,81.2
CHC,Miguel Amaya,39.739999999999995,-1.568627450980383,-11.650485436893206,4.052863436123341,-2.2608695652174027,54.0,0.986,81.2
CHC,Mike Tauchman,31.130000000000003,4.705882352941181,-0.3883495145630964,-5.1101321585903134,8.52173913043478,47.0,0.928,79.7
BAL,Kyle Stowers,13.799999999999999,-3.1372549019607767,-10.097087378640778,14.801762114537448,-5.391304347826092,53.0,0.87,79.7
CHC,Ian Happ,31.32,6.274509803921575,-6.213592233009705,-7.753303964757716,4.521739130434777,63.0,0.873,79.6
HOU,Jose Altuve,13.799999999999999,8.627450980392165,2.7184466019417504,-6.696035242290745,-5.739130434782604,21.0,1.466,77.0
TEX,Josh Jung,21.74,3.9215686274509842,-13.203883495145632,9.691629955947135,12.869565217391306,42.0,,77.0
PHI,Alec Bohm,13.799999999999999,13.333333333333336,-6.213592233009705,-3.876651982378849,1.043478260869566,56.0,0.921,76.0
CHC,Dansby Swanson,36.36,5.490196078431378,-10.097087378640778,-8.986784140969162,3.999999999999994,49.0,1.001,75.8
CHW,Luis Robert,13.799999999999999,0.7843137254901968,-17.864077669902922,14.096916299559474,5.565217391304344,67.0,0.934,75.5
NYY,Gleyber Torres,35.449999999999996,3.9215686274509842,-5.43689320388349,3.7004405286343545,-3.1304347826087078,22.0,1.331,75.2
ATL,Eddie Rosario,-0.39000000000000057,6.274509803921575,-2.330097087378632,-1.7621145374449356,3.1304347826086887,51.0,1.313,73.4
