,Unnamed: 0,Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
0,0,SF,Wilmer Flores,-17.169999999999998,-3.9215686274509736,-10.87378640776699,-8.986784140969162,6.434782608695648,-50.0,0.795,0.96,-64.5,-63.5
1,1,SD,Austin Nola,-53.93000000000001,-1.568627450980383,14.757281553398062,9.162995594713657,-6.782608695652179,-62.0,1.244,0.96,-96.3,-95.3
2,2,TEX,Marcus Semien,37.61,8.627450980392165,-4.660194174757286,2.643171806167404,7.999999999999997,32.0,1.08,0.96,87.3,88.3
3,3,TEX,Leody Taveras,15.46,9.411764705882351,-3.106796116504857,-1.7621145374449256,12.347826086956523,8.0,1.072,0.96,41.5,42.5
4,4,TEX,Josh Jung,28.64,8.627450980392165,-7.378640776699026,-12.511013215859032,16.000000000000004,79.0,1.082,0.96,116.7,117.7
5,5,TEX,Josh H. Smith,-0.1399999999999994,4.705882352941181,-13.980582524271847,-6.343612334801758,-0.173913043478261,-11.0,0.895,0.96,-23.1,-22.1
6,6,TEX,Jonah Heim,20.84,3.1372549019607874,-20.19417475728156,-1.7621145374449256,8.173913043478258,23.0,1.111,0.96,35.4,36.4
7,7,TEX,J.P. Martinez,1.6500000000000012,-10.196078431372548,4.271844660194168,-52.51101321585902,13.391304347826088,-15.0,0.97,0.96,-56.1,-55.1
8,8,TEX,Ezequiel Duran,9.490000000000002,7.843137254901968,-1.0778864316749092e-14,-5.46255506607929,11.652173913043478,12.0,0.97,0.96,33.1,34.1
9,9,TEX,Evan Carter,13.790000000000004,-5.490196078431367,-24.85436893203885,-26.960352422907484,13.913043478260873,-11.0,1.402,0.96,-54.6,-53.6
10,10,TEX,Corey Seager,82.56,10.980392156862743,0.7766990291262036,-0.3524229074889773,15.652173913043482,60.0,1.1720000000000002,0.96,190.8,191.8
11,11,TEX,Brad Miller,-5.279999999999999,-3.9215686274509736,-6.601941747572813,-15.682819383259895,5.739130434782604,-3.0,0.864,0.96,-27.6,-26.6
12,12,TEX,Austin Hedges,-7.740000000000002,6.274509803921575,5.048543689320383,-11.806167400881058,3.1304347826086887,-12.0,0.864,0.96,-14.2,-13.2
13,13,TEX,Adolis Garcia,27.320000000000004,3.1372549019607874,-8.543689320388347,-15.154185022026434,5.3913043478260825,52.0,1.255,0.96,77.3,78.3
14,14,LAA,A. Velazquez,-19.74,-7.843137254901959,12.038834951456312,-35.06607929515419,-3.652173913043482,-63.0,0.941,0.96,-112.6,-111.6
15,15,LAA,Anthony Rendon,6.599999999999998,3.137254901960798,5.43689320388349,-3.876651982378849,6.260869565217387,-9.0,0.941,0.96,8.2,9.2
16,16,LAA,Brandon Drury,-1.5499999999999998,0.7843137254902077,8.932038834951454,-14.096916299559474,10.08695652173913,22.0,1.114,0.96,28.0,29.0
17,17,LAA,Brett Phillips,-9.64,-10.980392156862743,-2.330097087378643,-41.40969162995595,2.260869565217384,-35.0,1.091,0.96,-101.7,-100.7
18,18,LAA,C.J. Cron,2.21,2.352941176470601,13.980582524271847,-7.224669603524226,1.9130434782608607,21.0,0.264,0.96,8.7,9.7
19,19,LAA,Chad Wallach,-15.59,-3.1372549019607767,-0.3883495145631179,-20.79295154185023,6.434782608695648,-26.0,0.264,0.96,-15.1,-14.1
20,20,LAA,David Fletcher,-5.300000000000001,0.7843137254902077,15.922330097087382,7.048458149779733,-0.3478260869565317,-20.0,0.947,0.96,-1.7,-0.7
21,21,LAA,E. Escobar,-31.27,-2.3529411764705794,5.43689320388349,-15.33039647577091,2.434782608695645,-64.0,0.5740000000000001,0.96,-57.9,-56.9
22,22,LAA,Gio Urshela,-1.92,10.19607843137256,13.980582524271847,1.7621145374449356,9.565217391304346,-5.0,0.5740000000000001,0.96,27.4,28.4
23,23,LAA,Jake Lamb,-12.97,3.137254901960798,3.883495145631061,-23.436123348017613,8.52173913043478,-24.0,0.5740000000000001,0.96,-43.1,-42.1
24,24,LAA,Jared Walsh,-8.290000000000001,-6.274509803921564,6.990291262135919,-28.54625550660793,-3.1304347826086985,-35.0,0.971,0.96,-69.2,-68.2
25,25,TEX,Mitch Garver,33.34,1.5686274509804046,-22.524271844660205,-4.933920704845811,11.826086956521742,23.0,0.994,0.96,40.3,41.3
26,26,SF,Wade Meckler,-44.53000000000001,-14.90196078431373,-13.203883495145632,-42.11453744493393,9.043478260869565,-45.0,1.0470000000000002,0.96,-144.7,-143.7
27,27,TEX,Nathaniel Lowe,14.72,3.1372549019607874,-15.14563106796117,-1.7621145374449256,12.869565217391306,-4.0,0.994,0.96,9.4,10.4
28,28,SD,Juan Soto,-26.43,2.352941176470601,8.543689320388347,6.519823788546251,-8.869565217391303,35.0,1.487,0.96,24.4,25.4
29,29,SD,Brett Sullivan,-34.59,-3.9215686274509736,20.58252427184465,-2.290748898678416,-0.3478260869565317,-20.0,0.982,0.96,-38.2,-37.2
30,30,SD,Eguy Rosario,-46.66,-11.764705882352942,19.02912621359223,-28.89867841409692,-2.4347826086956643,-51.0,0.931,0.96,-108.8,-107.8
31,31,SD,F. Tatis Jr.,-31.200000000000003,0.7843137254902077,19.805825242718445,2.8193832599118966,-8.173913043478258,20.0,1.097,0.96,4.2,5.2
