,Unnamed: 0,Team,Player,Opp,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
0,0,LAD,Rojas,COL,27.97,156.8627451,225.2427184,158.5903084,95.65217391,15,0.986,1.31,8.8,
1,1,COL,Blackmon,LAD,28.67,23.52941176,279.6116505,84.5814978,113.0434783,60,1.103,1.31,8.5,8.0
2,2,TOR,Clement,NYY,-5.39,109.8039216,205.8252427,160.3524229,126.9565217,5,1.264,1.11,8.5,
3,3,LAD,Rosario,COL,9.24,94.11764706,221.3592233,121.5859031,120.0,16,1.078,1.31,8.2,
4,4,COL,Rodgers,LAD,22.69,23.52941176,291.2621359,31.71806167,20.86956522,43,1.328,1.31,7.5,2.0
5,5,LAD,Betts,COL,81.28,141.1764706,-73.78640777,128.6343612,184.3478261,93,1.027,1.31,7.5,
6,6,LAD,Heyward,COL,28.94,94.11764706,135.9223301,109.2511013,111.3043478,55,1.051,1.31,7.4,
7,7,TOR,Guerrero Jr.,NYY,25.64,78.43137255,62.13592233,109.2511013,99.13043478,53,1.286,1.11,6.1,
8,8,MIA,Arraez,NYM,66.25,47.05882353,42.7184466,107.4889868,125.2173913,78,1.416,0.89,5.9,
9,9,TOR,Bichette,NYY,13.69,109.8039216,128.1553398,40.52863436,180.8695652,45,0.923,1.11,5.3,2.0
10,10,TOR,Espinal,NYY,-9.93,70.58823529,112.6213592,114.5374449,132.173913,-16,1.164,1.11,5.2,
11,11,LAD,Peralta,COL,20.21,125.4901961,190.2912621,70.4845815,76.52173913,39,0.727,1.31,5.0,
12,12,CHW,Alberto,ARI,25.75,47.05882353,271.8446602,130.3964758,-26.08695652,34,0.886,1.01,4.9,
13,13,SEA,France,TEX,18.58,156.8627451,221.3592233,75.77092511,93.91304348,37,0.932,0.83,4.7,
14,14,KC,Perez,DET,-15.7,94.11764706,271.8446602,-96.91629956,104.3478261,17,1.244,1.01,4.7,
15,15,NYY,Calhoun,TOR,4.34,23.52941176,143.6893204,119.8237885,78.26086957,45,0.921,1.11,4.6,
16,16,COL,Daza,LAD,17.53,-15.68627451,368.9320388,29.95594714,-90.43478261,28,0.964,1.31,4.4,
17,17,LAD,Marisnick,COL,7.63,94.11764706,159.223301,-29.95594714,111.3043478,-7,1.296,1.31,4.4,
18,18,COL,Tovar,LAD,-7.65,47.05882353,302.9126214,-84.5814978,29.56521739,27,1.052,1.31,4.3,
19,19,NYY,Trevino,TOR,2.41,-15.68627451,244.6601942,81.05726872,69.56521739,7,0.835,1.11,4.3,
20,20,TEX,Seager,SEA,80.54,94.11764706,178.6407767,-19.38325991,74.7826087,71,1.088,0.83,4.3,
21,21,SEA,Haggerty,TEX,26.61,39.21568627,221.3592233,-10.57268722,90.43478261,64,1.137,0.83,4.1,
22,22,LAD,Hernandez,COL,3.95,156.8627451,104.8543689,96.91629956,69.56521739,19,0.678,1.31,4.0,5.0
23,23,CHW,Jimenez,ARI,60.76,15.68627451,233.0097087,121.5859031,-146.0869565,79,1.101,1.01,4.0,
24,24,LAD,Martinez,COL,20.77,86.2745098,19.41747573,-100.4405286,146.0869565,57,1.296,1.31,3.9,5.0
