,Team,Player,Opp,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
0,MIA,Arraez,PIT,55.3,149.0196078431373,100.97087378640778,255.50660792951547,132.17391304347828,105.0,1.436,1.02,11.7,
1,MIN,Lewis,COL,41.06,101.96078431372548,112.62135922330096,22.90748898678416,107.82608695652172,69.0,1.592,1.28,9.3,
2,MIN,Farmer,COL,30.21,133.33333333333337,201.9417475728156,93.39207048458148,153.04347826086962,78.0,0.972,1.28,8.6,
3,MIN,Correa,COL,41.940000000000005,133.33333333333337,178.64077669902923,77.53303964757707,114.7826086956522,89.0,1.056,1.28,8.6,
4,MIN,Kirilloff,COL,42.91,117.64705882352942,132.03883495145632,3.524229074889871,257.391304347826,1.0,1.125,1.28,8.0,
5,MIN,Solano,COL,29.15,149.0196078431373,124.2718446601942,61.67400881057264,239.99999999999997,81.0,0.863,1.28,7.6,
6,WAS,Ruiz,ATL,42.42,62.74509803921575,318.4466019417476,88.10572687224669,100.86956521739133,96.0,1.297,1.03,7.3,5.0
7,MIN,Vazquez,COL,16.11,94.11764705882352,170.87378640776706,21.145374449339226,186.086956521739,80.0,0.957,1.28,7.0,
8,CLE,Naylor,DET,71.0,62.74509803921575,128.15533980582526,126.87224669603526,34.78260869565211,73.0,1.446,0.98,7.0,6.0
9,MIN,Jeffers,COL,44.77,101.96078431372548,85.43689320388347,-22.90748898678416,123.47826086956525,103.0,1.219,1.28,6.8,6.0
10,MIN,Miranda,COL,31.190000000000005,78.43137254901968,205.8252427184466,49.33920704845811,85.2173913043478,60.0,0.951,1.28,6.5,
11,ATL,II,WAS,50.99000000000001,125.49019607843138,135.9223300970874,98.67841409691628,57.39130434782604,116.0,1.06,1.03,6.4,
12,LAD,Freeman,SF,58.03,101.96078431372548,159.2233009708737,135.68281938325993,67.82608695652169,69.0,1.066,1.0,6.3,5.0
13,MIN,Castro,COL,-4.65,117.64705882352942,135.9223300970874,12.334801762114548,121.73913043478264,22.0,1.224,1.28,6.3,
14,CLE,Ramirez,DET,67.35999999999999,54.90196078431378,132.03883495145632,142.73127753303967,43.47826086956516,93.0,1.109,0.98,5.8,
15,WAS,Garcia,ATL,8.770000000000001,15.686274509804043,345.63106796116506,49.33920704845819,78.26086956521736,49.0,1.297,1.03,5.6,
16,WAS,Smith,ATL,21.59,31.37254901960798,252.42718446601936,47.577092511013255,114.7826086956522,74.0,1.297,1.03,5.6,4.0
17,ATL,Acuna Jr.,WAS,83.44,94.11764705882362,-15.533980582524286,126.87224669603526,12.173913043478176,98.0,1.368,1.03,5.6,
18,MIN,Kepler,COL,48.4,125.49019607843138,-54.368932038835005,86.34361233480175,151.30434782608685,25.0,1.102,1.28,5.4,2.0
19,ATL,Albies,WAS,45.68000000000001,101.96078431372558,34.951456310679546,96.91629955947135,34.78260869565211,57.0,1.374,1.03,5.3,5.0
